sample_index,t_received,t_stamp,age_ms
356,1776403187.800975,1776403187.715120,85.855
357,1776403187.848225,1776403187.788837,59.388
358,1776403187.898485,1776403187.828591,69.894
359,1776403187.937429,1776403187.870515,66.914
360,1776403187.974928,1776403187.908321,66.607
361,1776403188.014751,1776403187.946455,68.296
362,1776403188.056613,1776403188.007117,49.496
363,1776403188.092597,1776403188.030202,62.395
364,1776403188.131978,1776403188.070126,61.853
365,1776403188.172568,1776403188.112250,60.318
366,1776403188.212935,1776403188.150280,62.654
367,1776403188.246561,1776403188.188343,58.218
368,1776403188.276997,1776403188.227912,49.085
369,1776403188.314610,1776403188.268415,46.195
370,1776403188.350636,1776403188.308889,41.747
371,1776403188.396491,1776403188.349905,46.586
372,1776403188.443635,1776403188.386686,56.949
373,1776403188.478913,1776403188.432021,46.892
374,1776403188.518959,1776403188.473587,45.372
375,1776403188.564527,1776403188.512736,51.791
376,1776403188.607826,1776403188.549625,58.201
377,1776403188.648552,1776403188.593269,55.283
378,1776403188.695477,1776403188.630544,64.933
379,1776403188.740353,1776403188.671673,68.681
380,1776403188.787571,1776403188.712365,75.206
381,1776403188.833877,1776403188.752386,81.491
382,1776403188.884773,1776403188.788801,95.972
383,1776403188.931594,1776403188.872535,59.059
384,1776403188.973726,1776403188.913116,60.610
385,1776403189.017539,1776403188.951113,66.426
386,1776403189.064466,1776403188.989705,74.761
387,1776403189.111390,1776403189.031643,79.747
388,1776403189.154078,1776403189.071199,82.880
389,1776403189.203144,1776403189.110883,92.261
390,1776403189.245565,1776403189.149953,95.612
391,1776403189.284970,1776403189.229605,55.366
392,1776403189.333197,1776403189.267312,65.885
393,1776403189.377926,1776403189.311547,66.379
394,1776403189.420274,1776403189.348932,71.342
395,1776403189.469402,1776403189.387086,82.316
396,1776403189.516572,1776403189.434011,82.561
397,1776403189.554781,1776403189.468969,85.812
398,1776403189.597663,1776403189.546130,51.534
399,1776403189.637373,1776403189.587762,49.611
400,1776403189.676684,1776403189.626395,50.290
401,1776403189.714209,1776403189.666713,47.497
402,1776403189.751365,1776403189.707100,44.266
403,1776403189.804436,1776403189.754034,50.402
404,1776403189.845762,1776403189.795757,50.004
405,1776403189.880536,1776403189.835810,44.726
406,1776403189.913345,1776403189.872266,41.079
407,1776403189.962069,1776403189.912347,49.722
408,1776403190.009158,1776403189.951928,57.229
409,1776403190.049852,1776403189.990345,59.507
410,1776403190.083775,1776403190.031691,52.084
411,1776403190.118936,1776403190.070049,48.887
412,1776403190.157766,1776403190.108418,49.348
413,1776403190.199917,1776403190.152501,47.416
414,1776403190.242102,1776403190.191358,50.744
415,1776403190.282895,1776403190.233654,49.241
416,1776403190.325076,1776403190.274718,50.358
417,1776403190.367997,1776403190.314465,53.532
418,1776403190.411068,1776403190.351623,59.446
419,1776403190.473082,1776403190.422526,50.555
420,1776403190.516774,1776403190.442712,74.063
421,1776403190.561070,1776403190.509994,51.076
422,1776403190.597877,1776403190.550089,47.787
423,1776403190.636311,1776403190.588695,47.616
424,1776403190.673335,1776403190.626681,46.654
425,1776403190.712156,1776403190.664616,47.540
426,1776403190.744377,1776403190.705465,38.911
427,1776403190.798600,1776403190.748720,49.880
428,1776403190.846589,1776403190.794422,52.167
429,1776403190.886382,1776403190.835513,50.869
430,1776403190.929174,1776403190.872520,56.654
431,1776403190.974183,1776403190.915124,59.059
432,1776403191.015194,1776403190.951918,63.276
433,1776403191.054516,1776403190.996295,58.222
434,1776403191.097765,1776403191.037291,60.474
435,1776403191.139316,1776403191.075392,63.924
436,1776403191.179911,1776403191.115192,64.719
437,1776403191.219452,1776403191.153311,66.141
438,1776403191.259353,1776403191.196816,62.536
439,1776403191.297582,1776403191.235075,62.506
440,1776403191.340003,1776403191.274144,65.859
441,1776403191.381612,1776403191.315531,66.081
442,1776403191.414995,1776403191.355497,59.498
443,1776403191.448574,1776403191.395534,53.040
444,1776403191.483905,1776403191.436999,46.906
445,1776403191.522958,1776403191.476454,46.504
446,1776403191.568157,1776403191.515809,52.348
447,1776403191.610654,1776403191.554299,56.355
448,1776403191.667355,1776403191.613059,54.295
449,1776403191.708294,1776403191.632915,75.379
450,1776403191.746933,1776403191.667436,79.496
451,1776403191.783280,1776403191.710329,72.951
452,1776403191.824526,1776403191.751839,72.687
453,1776403191.867639,1776403191.792388,75.251
454,1776403191.909163,1776403191.830440,78.724
455,1776403191.950640,1776403191.871422,79.218
456,1776403191.997820,1776403191.915022,82.798
457,1776403192.043724,1776403191.955281,88.443
458,1776403192.084532,1776403192.034154,50.377
459,1776403192.126601,1776403192.075993,50.608
460,1776403192.168049,1776403192.116304,51.745
461,1776403192.210886,1776403192.152266,58.620
462,1776403192.251775,1776403192.194127,57.648
463,1776403192.290883,1776403192.234681,56.202
464,1776403192.335618,1776403192.276064,59.555
465,1776403192.378509,1776403192.316306,62.202
466,1776403192.414057,1776403192.354063,59.994
467,1776403192.452370,1776403192.397996,54.374
468,1776403192.496291,1776403192.435079,61.212
469,1776403192.538790,1776403192.471467,67.322
470,1776403192.581204,1776403192.515527,65.677
471,1776403192.627551,1776403192.553250,74.301
472,1776403192.675170,1776403192.587339,87.831
473,1776403192.720607,1776403192.634198,86.409
474,1776403192.769769,1776403192.712482,57.287
475,1776403192.818200,1776403192.750021,68.179
476,1776403192.867628,1776403192.807560,60.068
477,1776403192.918552,1776403192.829548,89.005
478,1776403192.961060,1776403192.911974,49.086
479,1776403193.006727,1776403192.948549,58.178
480,1776403193.050232,1776403192.992961,57.271
481,1776403193.090500,1776403193.027886,62.614
482,1776403193.139179,1776403193.065966,73.213
483,1776403193.179660,1776403193.111633,68.027
484,1776403193.213730,1776403193.147893,65.837
485,1776403193.246772,1776403193.190497,56.275
486,1776403193.278723,1776403193.228111,50.613
487,1776403193.313412,1776403193.268476,44.936
488,1776403193.369698,1776403193.312857,56.841
489,1776403193.411524,1776403193.353991,57.534
490,1776403193.452657,1776403193.387234,65.423
491,1776403193.494028,1776403193.432748,61.281
492,1776403193.537487,1776403193.472753,64.734
493,1776403193.577906,1776403193.515237,62.670
494,1776403193.616393,1776403193.552266,64.127
495,1776403193.649443,1776403193.593296,56.147
496,1776403193.686732,1776403193.636042,50.690
497,1776403193.721408,1776403193.673275,48.133
498,1776403193.756709,1776403193.714132,42.577
499,1776403193.806379,1776403193.755252,51.127
500,1776403193.849865,1776403193.792389,57.476
501,1776403193.885708,1776403193.834974,50.734
502,1776403193.923362,1776403193.875729,47.633
503,1776403193.967412,1776403193.912654,54.759
504,1776403194.008946,1776403193.951113,57.833
505,1776403194.062016,1776403194.014771,47.245
506,1776403194.103845,1776403194.032980,70.865
507,1776403194.141339,1776403194.067613,73.726
508,1776403194.180239,1776403194.110775,69.464
509,1776403194.217191,1776403194.151984,65.207
510,1776403194.257141,1776403194.188086,69.055
511,1776403194.301636,1776403194.235277,66.358
512,1776403194.343865,1776403194.275466,68.399
513,1776403194.385438,1776403194.312707,72.730
514,1776403194.427892,1776403194.355257,72.635
515,1776403194.471607,1776403194.391775,79.832
516,1776403194.517792,1776403194.433859,83.933
517,1776403194.562300,1776403194.474229,88.072
518,1776403194.606014,1776403194.514534,91.480
519,1776403194.650099,1776403194.594448,55.650
520,1776403194.684667,1776403194.636315,48.352
521,1776403194.728210,1776403194.674866,53.344
522,1776403194.772435,1776403194.715479,56.956
523,1776403194.811504,1776403194.754276,57.227
524,1776403194.852252,1776403194.794720,57.532
525,1776403194.895426,1776403194.836798,58.628
526,1776403194.941144,1776403194.873036,68.107
527,1776403194.981782,1776403194.916559,65.223
528,1776403195.022692,1776403194.954553,68.139
529,1776403195.069166,1776403194.993350,75.816
530,1776403195.112014,1776403195.034850,77.165
531,1776403195.155046,1776403195.066273,88.773
532,1776403195.199369,1776403195.117874,81.495
533,1776403195.241322,1776403195.156271,85.051
534,1776403195.280410,1776403195.231581,48.829
535,1776403195.319875,1776403195.269361,50.515
536,1776403195.356316,1776403195.313105,43.211
537,1776403195.402318,1776403195.352989,49.328
538,1776403195.447606,1776403195.388927,58.679
539,1776403195.485698,1776403195.430605,55.093
540,1776403195.529072,1776403195.471109,57.963
541,1776403195.573990,1776403195.512191,61.799
542,1776403195.611620,1776403195.552502,59.118
543,1776403195.652543,1776403195.590615,61.928
544,1776403195.697098,1776403195.633619,63.479
545,1776403195.737681,1776403195.668425,69.257
546,1776403195.779415,1776403195.708845,70.570
547,1776403195.813540,1776403195.748959,64.581
548,1776403195.849531,1776403195.791737,57.794
549,1776403195.893622,1776403195.831491,62.130
550,1776403195.935599,1776403195.867395,68.204
551,1776403195.977139,1776403195.908175,68.964
552,1776403196.016565,1776403195.949303,67.262
553,1776403196.058734,1776403195.990072,68.662
554,1776403196.098428,1776403196.030489,67.940
555,1776403196.143378,1776403196.064748,78.631
556,1776403196.181245,1776403196.113476,67.769
557,1776403196.215137,1776403196.149558,65.578
558,1776403196.247963,1776403196.187338,60.626
559,1776403196.281147,1776403196.229792,51.356
560,1776403196.314235,1776403196.268668,45.567
561,1776403196.366184,1776403196.312818,53.367
562,1776403196.409035,1776403196.352627,56.408
563,1776403196.467778,1776403196.412264,55.514
564,1776403196.508945,1776403196.430575,78.371
565,1776403196.544263,1776403196.470078,74.185
566,1776403196.579439,1776403196.509337,70.102
567,1776403196.613772,1776403196.548162,65.610
568,1776403196.651827,1776403196.587153,64.674
569,1776403196.696973,1776403196.631955,65.018
570,1776403196.742311,1776403196.669079,73.232
571,1776403196.786218,1776403196.710583,75.635
572,1776403196.834837,1776403196.750387,84.449
573,1776403196.882930,1776403196.790240,92.690
574,1776403196.929853,1776403196.871382,58.471
575,1776403196.979980,1776403196.911220,68.761
576,1776403197.019524,1776403196.954089,65.435
577,1776403197.066206,1776403196.990549,75.657
578,1776403197.114037,1776403197.031971,82.066
579,1776403197.161015,1776403197.071153,89.861
580,1776403197.211598,1776403197.114417,97.181
581,1776403197.254186,1776403197.188128,66.058
582,1776403197.302201,1776403197.233495,68.706
583,1776403197.347837,1776403197.273145,74.692
584,1776403197.395997,1776403197.311082,84.914
585,1776403197.444217,1776403197.351156,93.062
586,1776403197.488479,1776403197.429582,58.897
587,1776403197.536454,1776403197.472210,64.244
588,1776403197.582059,1776403197.513489,68.570
589,1776403197.626122,1776403197.551724,74.398
590,1776403197.670946,1776403197.611792,59.155
591,1776403197.719519,1776403197.627846,91.673
592,1776403197.766129,1776403197.710665,55.464
593,1776403197.812603,1776403197.750007,62.596
594,1776403197.849783,1776403197.788677,61.106
595,1776403197.888822,1776403197.830072,58.751
596,1776403197.927941,1776403197.868513,59.427
597,1776403197.968148,1776403197.915744,52.405
